COD_PRODUTO	DESCRICAO	REFERENCIA	NOME_FORNECEDOR_REGULAR	EAN_PRODUTO_UNITARIO
5087328	JOGO VIAGEM PELO BRASIL	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027553796
5089783	JOGO CARA A CARA DPA	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027553802
5087329	JOGO DA LINGUAGEM	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027553826
5089785	JOGO TRUQUE DE MESTRE PYONG	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027553840
5089786	JOGO QI MUSICAL	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027553925
5088220	JOGO JORNADA DO HEROI	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027553932
5087237	JOGO CIDADE DAS CONTAS	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027553949
5072589	JOGO TAPA CERTO LADYBUG	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554168
5072577	JOGO CERTO OU ERRADO	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554199
5072578	JOGO ZAK STORM E A AVENT D SETE MARES	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554205
5074238	JOGO DO CONTENTE POLIANA	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554212
5075388	JOGO CACA TESOURO DPA	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554229
5074419	JOGO CARA A CARA POLIANA	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554274
5087236	JOGO POLIGLOTA	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554366
5087238	JOGO BANCO IMOBILIÁRIO MUNDO	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554540
5087339	JOGO DA FAMA	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554557
5088221	JOGO DO ZOO	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554564
5087341	JOGO EU SOU DISNEY	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554632
5087342	JOGO QUEM DISSE	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554656
5087343	JOGO AVENTURAS NO PARQUE TOY STORY 4	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554823
5087344	JOGO MEGA SENHA 2.1	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027554908
5089784	JOGO GUERRA MITOLOGICA	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027555035
5092009	JOGO TAPA CERTO TOY STORY	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027555295
5104705	JOGO BATMAN PERIGO EM GOTHAM	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027555790
5104361	JOGO E O PREMIO VAI PARA...	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027555820
5104354	JOGO FUGA ALUCINANTE	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027555837
5104701	JOGO A LENDA DO HEROI	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027555844
5104355	JOGO ARENA DOS GLADIADORES	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027555875
5104356	JOGO VILA DOS MISTERIOS	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556018
5104359	JOGO TRAVA CATEGORIAS	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556025
5107227	JOGO DETETIVE HARRY POTTER	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556087
5104353	JOGO DECISOES	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556094
5104360	JOGO EU SOU...? CELEBS	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556100
5104357	JOGO CARA A CARA BATALHA DE PERGUNTAS	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556148
5115592	JOGO TAPA CERTO TOY STORY 4	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556247
5105001	JOGO EU SOU HARRY POTTER	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556261
